Watching for file changes with StatReloader
HTTP GET /api/v1/products/?governorate=%D8%A7%D9%84%D9%85%D9%86%D9%8A%D8%A7&center=%D9%85%D8%B1%D9%83%D8%B2+%D8%A7%D9%84%D9%85%D9%86%D9%8A%D8%A7&trade=tiler&trade_category=ceramic&listing_type=sale&search= 200 [0.11, 127.0.0.1:62905]
HTTP GET /api/v1/products/?governorate=%D8%A7%D9%84%D9%85%D9%86%D9%8A%D8%A7&center=%D9%85%D8%B1%D9%83%D8%B2+%D8%A7%D9%84%D9%85%D9%86%D9%8A%D8%A7&trade=mason&trade_category=brick&listing_type=sale&search= 200 [0.05, 127.0.0.1:62906]
HTTP GET /api/v1/sellers/?governorate=%D8%A7%D9%84%D9%85%D9%86%D9%8A%D8%A7&center=%D9%85%D8%B1%D9%83%D8%B2+%D8%A7%D9%84%D9%85%D9%86%D9%8A%D8%A7&trade=mason&trade_category=brick&search= 200 [0.08, 127.0.0.1:62905]
HTTP GET /api/v1/products/?governorate=%D8%A7%D9%84%D9%85%D9%86%D9%8A%D8%A7&center=%D9%85%D8%B1%D9%83%D8%B2+%D8%A7%D9%84%D9%85%D9%86%D9%8A%D8%A7&trade=ac&trade_category=install&listing_type=sale&search= 200 [0.07, 127.0.0.1:62906]
HTTP GET /api/v1/sellers/?governorate=%D8%A7%D9%84%D9%85%D9%86%D9%8A%D8%A7&center=%D9%85%D8%B1%D9%83%D8%B2+%D8%A7%D9%84%D9%85%D9%86%D9%8A%D8%A7&trade=ac&trade_category=install&search= 200 [0.08, 127.0.0.1:62905]
HTTP GET /api/v1/products/?governorate=%D8%A7%D9%84%D9%85%D9%86%D9%8A%D8%A7&center=%D9%85%D8%B1%D9%83%D8%B2+%D8%A7%D9%84%D9%85%D9%86%D9%8A%D8%A7&trade=appliances&trade_category=washer&listing_type=sale&search= 200 [0.07, 127.0.0.1:62906]
HTTP GET /api/v1/sellers/?governorate=%D8%A7%D9%84%D9%85%D9%86%D9%8A%D8%A7&center=%D9%85%D8%B1%D9%83%D8%B2+%D8%A7%D9%84%D9%85%D9%86%D9%8A%D8%A7&trade=appliances&trade_category=washer&search= 200 [0.11, 127.0.0.1:62905]
HTTP GET /api/v1/products/?governorate=%D8%A7%D9%84%D9%85%D9%86%D9%8A%D8%A7&center=%D9%85%D8%B1%D9%83%D8%B2+%D8%A7%D9%84%D9%85%D9%86%D9%8A%D8%A7&trade=upholstery&trade_category=sofas&listing_type=sale&search= 200 [0.06, 127.0.0.1:62906]
HTTP GET /api/v1/sellers/?governorate=%D8%A7%D9%84%D9%85%D9%86%D9%8A%D8%A7&center=%D9%85%D8%B1%D9%83%D8%B2+%D8%A7%D9%84%D9%85%D9%86%D9%8A%D8%A7&trade=upholstery&trade_category=sofas&search= 200 [0.07, 127.0.0.1:62905]
HTTP GET /api/v1/products/?governorate=%D8%A7%D9%84%D9%85%D9%86%D9%8A%D8%A7&center=%D9%85%D8%B1%D9%83%D8%B2+%D8%A7%D9%84%D9%85%D9%86%D9%8A%D8%A7&trade=aluminum&trade_category=windows&listing_type=sale&search= 200 [0.08, 127.0.0.1:62906]
